time, tag_id, distance,index, min, sec, tag_id, distance, times, interval, absence,tag_id
106,52326,235,2,43,15,52326,235,3,105,18,CC66
106,52258,505,3,43,15,52258,505,2,402,7,CC22
107,48110,712,1,43,16,48110,712,1,1,1,BBEE
107,48127,187,2,43,16,48127,187,1,133,0,BBFF
107,48093,451,3,43,16,48093,451,2,427,0,BBDD
108,48127,179,1,43,17,48127,179,1,134,0,BBFF
108,52258,481,2,43,17,52258,481,2,403,7,CC22
109,48127,181,1,43,18,48127,181,1,135,0,BBFF
109,52326,232,2,43,18,52326,232,3,106,18,CC66
109,52275,250,3,43,18,52275,250,4,194,1,CC33
109,48093,454,4,43,18,48093,454,2,428,0,BBDD
109,48076,244,5,43,18,48076,244,4,213,0,BBCC
110,48110,719,1,43,19,48110,719,1,2,1,BBEE
110,48127,188,2,43,19,48127,188,1,136,0,BBFF
110,52258,477,3,43,19,52258,477,2,404,7,CC22
111,48127,183,1,43,20,48127,183,1,137,0,BBFF
111,48093,450,2,43,20,48093,450,2,429,0,BBDD
112,48110,715,1,43,21,48110,715,1,3,1,BBEE
112,48127,186,2,43,21,48127,186,1,138,0,BBFF
112,52326,236,3,43,21,52326,236,3,107,18,CC66
112,52258,494,4,43,21,52258,494,2,405,7,CC22
113,48110,706,1,43,22,48110,706,1,4,1,BBEE
113,48127,185,2,43,22,48127,185,1,139,0,BBFF
113,52275,241,3,43,22,52275,241,4,195,1,CC33
113,48093,454,4,43,22,48093,454,2,430,0,BBDD
113,48076,232,5,43,22,48076,232,4,214,0,BBCC
114,48110,714,1,43,23,48110,714,1,5,1,BBEE
114,48127,184,2,43,23,48127,184,1,140,0,BBFF
114,52258,490,3,43,23,52258,490,2,406,7,CC22
115,48127,181,1,43,24,48127,181,1,141,0,BBFF
115,48093,453,2,43,24,48093,453,2,431,0,BBDD
