min, sec, tag_id, distance,times, interval,  absence
57,12,0xcc66,203,115,1,0
57,12,0xbbff,318,103,1,2

57,14,0xcc22,219,50,1,0
57,14,0xbbdd,340,54,1,1
57,14,0xcc11,302,64,1,0
57,14,0xbbee,227,86,1,5
57,14,0xcc33,319,102,1,3
57,14,0xcc66,204,116,1,0
57,14,0xbbff,318,104,1,2

57,14,0xcc22,218,51,1,0
57,14,0xbbdd,336,55,1,1
57,14,0xcc11,302,65,1,0
57,14,0xbbee,223,87,1,5
57,14,0xcc33,320,103,1,3
57,14,0xcc66,202,117,1,0
57,14,0xbbff,316,105,1,2

57,15,0xcc22,216,52,1,0
57,15,0xbbdd,337,56,1,1
57,15,0xcc11,303,66,1,0
57,15,0xbbee,224,88,1,5
57,15,0xcc33,320,104,1,3
57,15,0xcc66,199,118,1,0
57,15,0xbbff,315,106,1,2

57,16,0xcc22,225,53,1,0
57,16,0xbbdd,334,57,1,1
57,16,0xcc11,299,67,1,0
57,16,0xbbee,227,89,1,5
57,16,0xcc33,318,105,1,3
57,16,0xcc66,207,119,1,0
57,16,0xbbff,321,107,1,2

57,17,0xcc22,225,54,1,0
57,17,0xbbdd,340,58,1,1
57,17,0xcc11,301,68,1,0
57,17,0xbbee,225,90,1,5
57,17,0xcc33,318,106,1,3
57,17,0xcc66,204,120,1,0
57,17,0xbbff,321,108,1,2

57,18,0xcc22,223,55,1,0
57,18,0xcc11,300,69,1,0
57,18,0xcc33,322,107,1,3
57,18,0xcc66,206,121,1,0
57,18,0xbbff,318,109,1,2

57,19,0xcc22,222,56,1,0
57,19,0xbbdd,337,59,1,1
57,19,0xcc11,299,70,1,0
57,19,0xbbee,229,91,1,5
57,19,0xcc33,321,108,1,3
57,19,0xcc66,200,122,1,0

57,20,0xcc22,222,57,1,0
57,20,0xbbdd,339,60,1,1
57,20,0xcc11,302,71,1,0
57,20,0xbbee,224,92,1,5
57,20,0xcc33,325,109,1,3
57,20,0xcc66,204,123,1,0
57,20,0xbbff,319,110,1,2

57,21,0xcc22,220,58,1,0
57,21,0xbbdd,337,61,1,1
57,21,0xcc11,301,72,1,0
57,21,0xbbee,230,93,1,5
57,21,0xcc33,319,110,1,3
57,21,0xcc66,203,124,1,0
57,21,0xbbff,315,111,1,2

57,22,0xcc22,220,59,1,0
57,22,0xbbdd,335,62,1,1
57,22,0xcc11,304,73,1,0
57,22,0xbbee,223,94,1,5
57,22,0xcc33,316,111,1,3
57,22,0xcc66,210,125,1,0
57,22,0xbbff,318,112,1,2

57,23,0xcc22,215,60,1,0
57,23,0xbbdd,335,63,1,1
57,23,0xcc11,302,74,1,0
57,23,0xbbee,224,95,1,5
57,23,0xcc33,318,112,1,3
57,23,0xcc66,206,126,1,0
57,23,0xbbff,318,113,1,2

57,24,0xcc22,219,61,1,0
57,24,0xbbdd,339,64,1,1
57,24,0xcc11,301,75,1,0
57,24,0xbbee,227,96,1,5
57,24,0xcc33,319,113,1,3
57,24,0xcc66,202,127,1,0
57,24,0xbbff,321,114,1,2

57,25,0xcc22,221,62,1,0
57,25,0xbbdd,338,65,1,1
57,25,0xcc11,302,76,1,0
57,25,0xbbee,225,97,1,5
57,25,0xcc33,324,114,1,3
57,25,0xcc66,209,128,1,0
57,25,0xbbff,319,115,1,2

57,26,0xcc22,223,63,1,0
57,26,0xbbdd,335,66,1,1
57,26,0xcc11,301,77,1,0
57,26,0xbbee,224,98,1,5
57,26,0xcc33,318,115,1,3
57,26,0xcc66,204,129,1,0
57,26,0xbbff,318,116,1,2

57,27,0xcc22,224,64,1,0
57,27,0xbbdd,337,67,1,1
57,27,0xcc11,302,78,1,0
57,27,0xbbee,223,99,1,5
57,27,0xcc33,324,116,1,3
57,27,0xcc66,201,130,1,0
57,27,0xbbff,321,117,1,2

57,28,0xcc22,219,65,1,0
57,28,0xbbdd,332,68,1,1
57,28,0xcc11,298,79,1,0
57,28,0xbbee,223,100,1,5
57,28,0xcc33,324,117,1,3
57,28,0xcc66,208,131,1,0
57,28,0xbbff,319,118,1,2

57,29,0xcc22,218,66,1,0
57,29,0xbbdd,337,69,1,1
57,29,0xcc11,301,80,1,0
57,29,0xbbee,227,101,1,5
57,29,0xcc33,324,118,1,3
57,29,0xcc66,207,132,1,0
57,29,0xbbff,325,119,1,2

57,30,0xcc22,216,67,1,0
57,30,0xbbdd,337,70,1,1
57,30,0xcc11,298,81,1,0
57,30,0xbbee,226,102,1,5
57,30,0xcc33,325,119,1,3
57,30,0xcc66,211,133,1,0
57,30,0xbbff,318,120,1,2

57,31,0xcc22,218,68,1,0
57,31,0xbbdd,336,71,1,1
57,31,0xcc11,302,82,1,0
